Cliente;Gerencia_F;subcanal_
cte427;gerencia 6;tiendita
cte2346;gerencia 2 ;tiendita
cte2347;gerencia 4;tiendita
cte2348;gerencia 2 ;tiendita
cte2349;gerencia 6;tiendita
cte2350;gerencia 4;tiendita
cte2351;gerencia 6;tiendita
cte2352;gerencia 2 ;tiendita
cte792;gerencia 6;tiendita
cte2353;gerencia 4;tiendita
cte2354;gerencia 6;tiendita
cte2355;gerencia 7;tiendita
cte2356;gerencia 2 ;tiendita
cte2357;gerencia 2 ;tiendita
cte2358;gerencia 4;tiendita
cte2359;gerencia 1;tiendita
cte2360;gerencia 5;tiendita
cte2361;gerencia 3;tiendita
cte2362;gerencia 6;tiendita
cte2363;gerencia 2 ;tiendita
cte2364;gerencia 3;tiendita
cte2365;gerencia 2 ;tiendita
cte2366;gerencia 7;tiendita
cte2367;gerencia 6;tiendita
cte2368;gerencia 1;tiendita
cte2369;gerencia 6;tiendita
cte2370;gerencia 5;tiendita
cte2371;gerencia 7;tiendita
cte2372;gerencia 3;tiendita
cte2373;gerencia 1;tiendita
cte2374;gerencia 2 ;tiendita
cte2375;gerencia 1;tiendita
cte2376;gerencia 4;tiendita
cte2377;gerencia 2 ;tiendita
cte2378;gerencia 6;tiendita
cte2379;gerencia 7;tiendita
cte2380;gerencia 2 ;tiendita
cte2381;gerencia 1;tiendita
cte2382;gerencia 2 ;tiendita
cte2383;gerencia 7;tiendita
cte2384;gerencia 5;tiendita
cte2385;gerencia 2 ;tiendita
cte2386;gerencia 5;tiendita
cte2387;gerencia 7;tiendita
cte2388;gerencia 2 ;tiendita
cte2389;gerencia 6;tiendita
cte2390;gerencia 2 ;tiendita
cte2391;gerencia 3;tiendita
cte2392;gerencia 2 ;tiendita
cte2393;gerencia 5;tiendita
cte2394;gerencia 5;tiendita
cte2395;gerencia 2 ;tiendita
cte2396;gerencia 6;tiendita
cte2397;gerencia 4;tiendita
cte2398;gerencia 1;tiendita
cte2399;gerencia 3;tiendita
cte2400;gerencia 2 ;tiendita
cte2401;gerencia 1;tiendita
cte2402;gerencia 2 ;tiendita
cte2403;gerencia 2 ;tiendita
cte463;gerencia 2 ;tiendita
cte2404;gerencia 7;tiendita
cte2405;gerencia 4;tiendita
cte2406;gerencia 4;tiendita
cte2407;gerencia 3;tiendita
cte2408;gerencia 7;tiendita
cte2409;gerencia 2 ;tiendita
cte2410;gerencia 3;tiendita
cte2411;gerencia 7;tiendita
cte2412;gerencia 6;tiendita
cte2413;gerencia 5;tiendita
cte2414;gerencia 6;tiendita
cte2415;gerencia 3;tiendita
cte2416;gerencia 2 ;tiendita
cte2417;gerencia 5;tiendita
cte2418;gerencia 3;tiendita
cte2419;gerencia 6;tiendita
cte2420;gerencia 1;tiendita
cte2421;gerencia 1;tiendita
cte2422;gerencia 6;tiendita
cte2423;gerencia 5;tiendita
cte2424;gerencia 6;tiendita
cte2425;gerencia 2 ;tiendita
cte2426;gerencia 5;tiendita
cte2427;gerencia 3;tiendita
cte2428;gerencia 1;tiendita
cte2429;gerencia 7;tiendita
cte2430;gerencia 4;tiendita
cte2431;gerencia 7;tiendita
cte2432;gerencia 6;tiendita
cte2433;gerencia 7;tiendita
cte2434;gerencia 7;tiendita
cte2435;gerencia 5;tiendita
cte2436;gerencia 5;tiendita
cte2437;gerencia 5;tiendita
cte2438;gerencia 5;tiendita
cte2439;gerencia 2 ;tiendita
cte2440;gerencia 6;tiendita
cte2441;gerencia 7;tiendita
cte2442;gerencia 7;tiendita
cte2443;gerencia 6;tiendita
cte2444;gerencia 4;tiendita
cte2445;gerencia 3;tiendita
cte2446;gerencia 3;tiendita
cte2447;gerencia 7;tiendita
cte2448;gerencia 1;tiendita
cte2449;gerencia 2 ;tiendita
cte2450;gerencia 7;tiendita
cte603;gerencia 5;tiendita
cte2451;gerencia 3;tiendita
cte2452;gerencia 4;tiendita
cte2453;gerencia 6;tiendita
cte2454;gerencia 4;tiendita
cte2455;gerencia 6;tiendita
cte2456;gerencia 4;tiendita
cte2457;gerencia 2 ;tiendita
cte2458;gerencia 6;tiendita
cte1066;gerencia 1;tiendita
cte2459;gerencia 5;tiendita
cte2460;gerencia 3;tiendita
cte2461;gerencia 2 ;tiendita
cte2462;gerencia 2 ;tiendita
cte2463;gerencia 1;tiendita
cte2464;gerencia 3;tiendita
cte2465;gerencia 4;tiendita
cte2466;gerencia 2 ;tiendita
cte2467;gerencia 3;tiendita
cte2468;gerencia 1;tiendita
cte2469;gerencia 6;tiendita
cte2470;gerencia 4;tiendita
cte2471;gerencia 6;tiendita
cte2472;gerencia 7;tiendita
cte2473;gerencia 1;tiendita
cte2474;gerencia 6;tiendita
cte879;gerencia 1;tiendita
cte2475;gerencia 2 ;tiendita
cte2476;gerencia 6;tiendita
cte2477;gerencia 6;tiendita
cte2478;gerencia 4;tiendita
cte2479;gerencia 3;tiendita
cte2480;gerencia 4;tiendita
cte2481;gerencia 2 ;tiendita
cte789;gerencia 5;tiendita
cte2482;gerencia 4;tiendita
cte2483;gerencia 6;tiendita
cte2484;gerencia 2 ;tiendita
cte2485;gerencia 2 ;tiendita
cte2486;gerencia 2 ;tiendita
cte2487;gerencia 4;tiendita
cte2488;gerencia 5;tiendita
cte2489;gerencia 2 ;tiendita
cte2490;gerencia 2 ;tiendita
cte2491;gerencia 7;tiendita
cte2492;gerencia 6;tiendita
cte2493;gerencia 2 ;tiendita
cte2494;gerencia 4;tiendita
cte2495;gerencia 7;tiendita
cte2496;gerencia 3;tiendita
cte2497;gerencia 2 ;tiendita
cte366;gerencia 2 ;tiendita
cte2498;gerencia 6;tiendita
cte2499;gerencia 6;tiendita
cte2500;gerencia 5;tiendita
cte2501;gerencia 2 ;tiendita
cte2502;gerencia 5;tiendita
cte2503;gerencia 2 ;tiendita
cte2504;gerencia 2 ;tiendita
cte1485;gerencia 2 ;tiendita
cte2505;gerencia 5;tiendita
cte2506;gerencia 6;tiendita
cte2507;gerencia 7;tiendita
cte2508;gerencia 5;tiendita
cte2509;gerencia 7;tiendita
cte2510;gerencia 6;tiendita
cte2511;gerencia 7;tiendita
cte2512;gerencia 5;tiendita
cte2513;gerencia 5;tiendita
cte2514;gerencia 6;tiendita
cte2515;gerencia 2 ;tiendita
cte2516;gerencia 2 ;tiendita
cte2517;gerencia 3;tiendita
cte2518;gerencia 7;tiendita
cte2519;gerencia 6;tiendita
cte2520;gerencia 7;tiendita
cte2521;gerencia 2 ;tiendita
cte2522;gerencia 6;tiendita
cte2523;gerencia 2 ;tiendita
cte2524;gerencia 1;tiendita
cte2525;gerencia 4;tiendita
cte2526;gerencia 3;tiendita
cte2527;gerencia 2 ;tiendita
cte2528;gerencia 2 ;tiendita
cte2529;gerencia 3;tiendita
cte2530;gerencia 1;tiendita
cte2531;gerencia 4;tiendita
cte2532;gerencia 7;tiendita
cte2533;gerencia 2 ;tiendita
cte2534;gerencia 6;tiendita
cte2535;gerencia 2 ;tiendita
cte2536;gerencia 2 ;tiendita
cte2537;gerencia 6;tiendita
cte2538;gerencia 5;tiendita
cte2539;gerencia 6;tiendita
cte2540;gerencia 7;tiendita
cte2541;gerencia 5;tiendita
cte2542;gerencia 6;tiendita
cte2543;gerencia 4;tiendita
cte2544;gerencia 2 ;tiendita
cte2545;gerencia 4;tiendita
cte2546;gerencia 1;tiendita
cte2547;gerencia 1;tiendita
cte2548;gerencia 7;tiendita
cte2549;gerencia 6;tiendita
cte2550;gerencia 2 ;tiendita
cte2551;gerencia 7;tiendita
cte2552;gerencia 7;tiendita
cte2553;gerencia 6;tiendita
cte2554;gerencia 2 ;tiendita
cte2493;gerencia 2 ;tiendita
cte2555;gerencia 3;tiendita
cte2556;gerencia 1;tiendita
cte2557;gerencia 6;tiendita
cte2558;gerencia 7;tiendita
cte1344;gerencia 6;tiendita
cte2559;gerencia 2 ;tiendita
cte2560;gerencia 5;tiendita
cte2561;gerencia 4;tiendita
cte2562;gerencia 2 ;tiendita
cte2563;gerencia 5;tiendita
cte2564;gerencia 6;tiendita
cte2565;gerencia 2 ;tiendita
cte2566;gerencia 2 ;tiendita
cte2567;gerencia 2 ;tiendita
cte2568;gerencia 6;tiendita
cte2569;gerencia 5;tiendita
cte1876;gerencia 4;tiendita
cte2570;gerencia 6;tiendita
cte2571;gerencia 3;tiendita
cte2572;gerencia 2 ;tiendita
cte2573;gerencia 4;tiendita
cte2574;gerencia 3;tiendita
cte1627;gerencia 7;tiendita
cte2575;gerencia 6;tiendita
cte2576;gerencia 2 ;tiendita
cte2577;gerencia 4;tiendita
cte2578;gerencia 3;tiendita
cte2579;gerencia 7;tiendita
cte2580;gerencia 7;tiendita
cte2581;gerencia 5;tiendita
cte2582;gerencia 2 ;tiendita
cte2583;gerencia 5;tiendita
cte2584;gerencia 2 ;tiendita
cte2585;gerencia 4;tiendita
cte2586;gerencia 2 ;tiendita
cte2587;gerencia 3;tiendita
cte2588;gerencia 6;tiendita
cte2589;gerencia 3;tiendita
cte2590;gerencia 2 ;tiendita
cte2591;gerencia 4;tiendita
cte2146;gerencia 2 ;tiendita
cte2592;gerencia 2 ;tiendita
cte2593;gerencia 6;tiendita
cte2594;gerencia 1;tiendita
cte2595;gerencia 6;tiendita
cte887;gerencia 1;tiendita
cte2596;gerencia 3;tiendita
cte2597;gerencia 6;tiendita
cte2598;gerencia 1;tiendita
cte2599;gerencia 6;tiendita
cte2600;gerencia 2 ;tiendita
cte2601;gerencia 6;tiendita
cte2602;gerencia 2 ;tiendita
cte2603;gerencia 2 ;tiendita
cte2604;gerencia 7;tiendita
cte2605;gerencia 6;tiendita
cte2606;gerencia 2 ;tiendita
cte2607;gerencia 3;tiendita
cte46;gerencia 2 ;tiendita
cte2608;gerencia 4;tiendita
cte2609;gerencia 5;tiendita
cte2610;gerencia 7;tiendita
cte2611;gerencia 4;tiendita
cte2612;gerencia 1;tiendita
cte2613;gerencia 2 ;tiendita
cte2614;gerencia 2 ;tiendita
cte2615;gerencia 2 ;tiendita
cte2616;gerencia 2 ;tiendita
cte2617;gerencia 6;tiendita
cte2618;gerencia 5;tiendita
cte2619;gerencia 6;tiendita
cte2620;gerencia 4;tiendita
cte2621;gerencia 7;tiendita
cte2622;gerencia 5;tiendita
cte2623;gerencia 1;tiendita
cte2230;gerencia 2 ;tiendita
cte2624;gerencia 2 ;tiendita
cte2625;gerencia 4;tiendita
cte2626;gerencia 6;tiendita
cte2627;gerencia 1;tiendita
cte2628;gerencia 5;tiendita
cte2629;gerencia 7;tiendita
cte2630;gerencia 2 ;tiendita
cte2631;gerencia 1;tiendita
cte2632;gerencia 2 ;tiendita
cte2633;gerencia 7;tiendita
cte2634;gerencia 7;tiendita
cte2635;gerencia 6;tiendita
cte2636;gerencia 5;tiendita
cte2637;gerencia 7;tiendita
cte2638;gerencia 6;tiendita
cte2639;gerencia 3;tiendita
cte2640;gerencia 5;tiendita
cte2641;gerencia 2 ;tiendita
cte2642;gerencia 5;tiendita
cte2643;gerencia 2 ;tiendita
cte2644;gerencia 1;tiendita
cte2645;gerencia 6;tiendita
cte2646;gerencia 3;tiendita
cte2647;gerencia 6;tiendita
cte2648;gerencia 7;tiendita
cte2649;gerencia 3;tiendita
cte2650;gerencia 2 ;tiendita
cte2651;gerencia 6;tiendita
cte2652;gerencia 4;tiendita
cte2653;gerencia 5;tiendita
cte2654;gerencia 2 ;tiendita
cte2655;gerencia 1;tiendita
cte2656;gerencia 2 ;tiendita
cte2657;gerencia 2 ;tiendita
cte2658;gerencia 5;tiendita
cte2659;gerencia 5;tiendita
cte2660;gerencia 2 ;tiendita
cte2661;gerencia 6;tiendita
cte2662;gerencia 6;tiendita
cte2663;gerencia 2 ;tiendita
cte2664;gerencia 4;tiendita
cte2665;gerencia 7;tiendita
cte2666;gerencia 4;tiendita
cte2667;gerencia 2 ;tiendita
cte2668;gerencia 1;tiendita
cte2669;gerencia 5;tiendita
cte2670;gerencia 2 ;tiendita
cte2671;gerencia 6;tiendita
cte2672;gerencia 7;tiendita
cte2673;gerencia 2 ;tiendita
cte2674;gerencia 4;tiendita
cte2059;gerencia 7;tiendita
cte2675;gerencia 6;tiendita
cte2676;gerencia 6;tiendita
cte2677;gerencia 4;tiendita
cte2678;gerencia 7;tiendita
cte2679;gerencia 7;tiendita
cte2680;gerencia 5;tiendita
cte2681;gerencia 2 ;tiendita
cte2682;gerencia 5;tiendita
cte2683;gerencia 2 ;tiendita
cte2684;gerencia 3;tiendita
cte2685;gerencia 5;tiendita
cte2686;gerencia 2 ;tiendita
cte2687;gerencia 4;tiendita
cte2688;gerencia 2 ;tiendita
cte2689;gerencia 1;tiendita
cte2690;gerencia 5;tiendita
cte2691;gerencia 7;tiendita
cte2692;gerencia 7;tiendita
cte2693;gerencia 6;tiendita
cte2694;gerencia 3;tiendita
cte2695;gerencia 6;tiendita
cte2696;gerencia 5;tiendita
cte2697;gerencia 3;tiendita
cte2698;gerencia 7;tiendita
cte2699;gerencia 5;tiendita
cte2700;gerencia 6;tiendita
cte2701;gerencia 1;tiendita
cte2702;gerencia 1;tiendita
cte2703;gerencia 5;tiendita
cte2704;gerencia 4;tiendita
cte2705;gerencia 1;tiendita
cte2706;gerencia 7;tiendita
cte2707;gerencia 2 ;tiendita
cte2708;gerencia 7;tiendita
cte2709;gerencia 6;tiendita
cte2710;gerencia 1;tiendita
cte2711;gerencia 5;tiendita
cte2712;gerencia 5;tiendita
cte2713;gerencia 2 ;tiendita
cte2714;gerencia 4;tiendita
cte2715;gerencia 5;tiendita
cte2716;gerencia 1;tiendita
cte2717;gerencia 7;tiendita
cte2718;gerencia 6;tiendita
cte2719;gerencia 5;tiendita
cte810;gerencia 7;tiendita
cte2720;gerencia 2 ;tiendita
cte2721;gerencia 7;tiendita
cte2722;gerencia 6;tiendita
cte2723;gerencia 2 ;tiendita
cte2724;gerencia 2 ;tiendita
cte2725;gerencia 5;tiendita
cte6;gerencia 1;tiendita
cte2726;gerencia 5;tiendita
cte2727;gerencia 7;tiendita
cte2728;gerencia 7;tiendita
cte2729;gerencia 1;tiendita
cte2730;gerencia 2 ;tiendita
cte2731;gerencia 2 ;tiendita
cte2732;gerencia 3;tiendita
cte2733;gerencia 2 ;tiendita
cte2426;gerencia 5;tiendita
cte2734;gerencia 1;tiendita
cte2735;gerencia 2 ;tiendita
cte2736;gerencia 6;tiendita
cte2737;gerencia 3;tiendita
cte2738;gerencia 6;tiendita
cte2739;gerencia 4;tiendita
cte2740;gerencia 4;tiendita
cte2741;gerencia 1;tiendita
cte2742;gerencia 7;tiendita
cte2743;gerencia 6;tiendita
cte1117;gerencia 3;tiendita
cte2744;gerencia 6;tiendita
cte2745;gerencia 7;tiendita
cte2746;gerencia 2 ;tiendita
cte2747;gerencia 4;tiendita
cte1903;gerencia 7;tiendita
cte2748;gerencia 2 ;tiendita
cte2749;gerencia 6;tiendita
cte2750;gerencia 7;tiendita
cte2607;gerencia 3;tiendita
cte2751;gerencia 3;tiendita
cte2752;gerencia 7;tiendita
cte2753;gerencia 2 ;tiendita
cte2754;gerencia 6;tiendita
cte2755;gerencia 4;tiendita
cte2756;gerencia 6;tiendita
cte2757;gerencia 6;tiendita
cte2758;gerencia 2 ;tiendita
cte2759;gerencia 2 ;tiendita
cte2760;gerencia 2 ;tiendita
cte2761;gerencia 2 ;tiendita
cte2762;gerencia 2 ;tiendita
cte2763;gerencia 5;tiendita
cte2764;gerencia 6;tiendita
cte1412;gerencia 2 ;tiendita
cte2765;gerencia 2 ;tiendita
cte2766;gerencia 2 ;tiendita
cte2767;gerencia 2 ;tiendita
cte2768;gerencia 7;tiendita
cte2769;gerencia 7;tiendita
cte2770;gerencia 2 ;tiendita
cte2771;gerencia 5;tiendita
cte2772;gerencia 6;tiendita
cte1051;gerencia 6;tiendita
cte2773;gerencia 4;tiendita
cte2774;gerencia 6;tiendita
cte2775;gerencia 7;tiendita
cte2776;gerencia 7;tiendita
cte2777;gerencia 2 ;tiendita
cte1341;gerencia 4;tiendita
cte2778;gerencia 6;tiendita
cte2779;gerencia 7;tiendita
cte2780;gerencia 1;tiendita
cte2781;gerencia 4;tiendita
cte724;gerencia 5;tiendita
cte2782;gerencia 6;tiendita
cte2783;gerencia 4;tiendita
cte2784;gerencia 6;tiendita
cte2785;gerencia 5;tiendita
cte2786;gerencia 1;tiendita
cte2787;gerencia 5;tiendita
cte2788;gerencia 2 ;tiendita
cte2789;gerencia 6;tiendita
cte2790;gerencia 1;tiendita
cte934;gerencia 7;tiendita
cte2791;gerencia 2 ;tiendita
cte2792;gerencia 7;tiendita
cte2793;gerencia 6;tiendita
cte2794;gerencia 2 ;tiendita
cte2795;gerencia 2 ;tiendita
cte2796;gerencia 1;tiendita
cte2797;gerencia 5;tiendita
cte2798;gerencia 2 ;tiendita
cte2799;gerencia 1;tiendita
cte2800;gerencia 6;tiendita
cte2801;gerencia 1;tiendita
cte2802;gerencia 7;tiendita
cte2803;gerencia 6;tiendita
cte2804;gerencia 2 ;tiendita
cte2805;gerencia 7;tiendita
cte2806;gerencia 7;tiendita
cte2807;gerencia 7;tiendita
cte2808;gerencia 2 ;tiendita
cte2809;gerencia 6;tiendita
cte2810;gerencia 4;tiendita
cte2811;gerencia 4;tiendita
cte2812;gerencia 2 ;tiendita
cte2813;gerencia 7;tiendita
cte2814;gerencia 1;tiendita
cte2815;gerencia 2 ;tiendita
cte2816;gerencia 6;tiendita
cte1913;gerencia 6;tiendita
cte2817;gerencia 1;tiendita
cte2818;gerencia 1;tiendita
cte2819;gerencia 2 ;tiendita
cte2820;gerencia 5;tiendita
cte2821;gerencia 6;tiendita
cte2822;gerencia 2 ;tiendita
cte2823;gerencia 6;tiendita
cte2824;gerencia 6;tiendita
cte2825;gerencia 2 ;tiendita
cte2826;gerencia 5;tiendita
cte2827;gerencia 1;tiendita
cte2828;gerencia 7;tiendita
cte2829;gerencia 6;tiendita
cte2830;gerencia 2 ;tiendita
cte2831;gerencia 6;tiendita
cte1476;gerencia 1;tiendita
cte2832;gerencia 2 ;tiendita
cte2833;gerencia 2 ;tiendita
cte2834;gerencia 3;tiendita
cte2835;gerencia 1;tiendita
cte2836;gerencia 6;tiendita
cte2837;gerencia 7;tiendita
cte1119;gerencia 6;tiendita
cte2838;gerencia 2 ;tiendita
cte2839;gerencia 7;tiendita
cte2840;gerencia 5;tiendita
cte2841;gerencia 1;tiendita
cte2842;gerencia 2 ;tiendita
cte2843;gerencia 7;tiendita
cte2844;gerencia 2 ;tiendita
cte2845;gerencia 1;tiendita
cte2846;gerencia 4;tiendita
cte2847;gerencia 5;tiendita
cte2848;gerencia 2 ;tiendita
cte2849;gerencia 1;tiendita
cte2850;gerencia 7;tiendita
cte2851;gerencia 6;tiendita
cte2852;gerencia 6;tiendita
cte2853;gerencia 6;tiendita
cte2854;gerencia 2 ;tiendita
cte2855;gerencia 3;tiendita
cte2856;gerencia 2 ;tiendita
cte2857;gerencia 7;tiendita
cte1454;gerencia 1;tiendita
cte2858;gerencia 2 ;tiendita
cte2022;gerencia 7;tiendita
cte2859;gerencia 5;tiendita
cte2768;gerencia 7;tiendita
cte2860;gerencia 2 ;tiendita
cte2861;gerencia 5;tiendita
cte2862;gerencia 5;tiendita
cte2863;gerencia 5;tiendita
cte2864;gerencia 7;tiendita
cte2865;gerencia 2 ;tiendita
cte2866;gerencia 2 ;tiendita
cte563;gerencia 1;tiendita
cte2867;gerencia 5;tiendita
cte2868;gerencia 6;tiendita
cte2869;gerencia 1;tiendita
cte2870;gerencia 2 ;tiendita
cte2871;gerencia 7;tiendita
cte2872;gerencia 6;tiendita
cte2873;gerencia 7;tiendita
cte2874;gerencia 6;tiendita
cte2875;gerencia 2 ;tiendita
cte1555;gerencia 2 ;tiendita
cte2876;gerencia 2 ;tiendita
cte2009;gerencia 5;tiendita
cte2877;gerencia 6;tiendita
cte2878;gerencia 2 ;tiendita
cte2879;gerencia 4;tiendita
cte2880;gerencia 2 ;tiendita
cte2881;gerencia 2 ;tiendita
cte2882;gerencia 1;tiendita
cte2883;gerencia 6;tiendita
cte2884;gerencia 6;tiendita
cte2885;gerencia 7;tiendita
cte2886;gerencia 1;tiendita
cte2887;gerencia 5;tiendita
cte2888;gerencia 6;tiendita
cte2889;gerencia 2 ;tiendita
cte2890;gerencia 2 ;tiendita
cte2891;gerencia 1;tiendita
cte2892;gerencia 6;tiendita
cte2893;gerencia 2 ;tiendita
cte2894;gerencia 5;tiendita
cte2895;gerencia 2 ;tiendita
cte2896;gerencia 5;tiendita
cte1638;gerencia 5;tiendita
cte2897;gerencia 7;tiendita
cte2898;gerencia 7;tiendita
cte2899;gerencia 2 ;tiendita
cte2900;gerencia 2 ;tiendita
cte2901;gerencia 7;tiendita
cte2902;gerencia 2 ;tiendita
cte2903;gerencia 4;tiendita
cte2904;gerencia 4;tiendita
cte2905;gerencia 3;tiendita
cte2906;gerencia 2 ;tiendita
cte2907;gerencia 4;tiendita
cte2908;gerencia 6;tiendita
cte2909;gerencia 4;tiendita
cte2910;gerencia 2 ;tiendita
cte2911;gerencia 1;tiendita
cte2912;gerencia 4;tiendita
cte2913;gerencia 6;tiendita
cte2914;gerencia 7;tiendita
cte524;gerencia 7;tiendita
cte2915;gerencia 2 ;tiendita
cte2916;gerencia 5;tiendita
cte2917;gerencia 6;tiendita
cte2918;gerencia 7;tiendita
cte2919;gerencia 2 ;tiendita
cte2920;gerencia 2 ;tiendita
cte2921;gerencia 5;tiendita
cte2922;gerencia 2 ;tiendita
cte2923;gerencia 1;tiendita
cte2924;gerencia 4;tiendita
cte2925;gerencia 2 ;tiendita
cte2926;gerencia 1;tiendita
cte2927;gerencia 6;tiendita
cte2928;gerencia 3;tiendita
cte2929;gerencia 3;tiendita
cte2930;gerencia 7;tiendita
cte2931;gerencia 5;tiendita
cte2932;gerencia 1;tiendita
cte2933;gerencia 4;tiendita
cte2934;gerencia 7;tiendita
cte1954;gerencia 5;tiendita
cte2935;gerencia 5;tiendita
cte2936;gerencia 4;tiendita
cte2937;gerencia 3;tiendita
cte2938;gerencia 5;tiendita
cte2939;gerencia 4;tiendita
cte2940;gerencia 1;tiendita
cte2941;gerencia 5;tiendita
cte2942;gerencia 6;tiendita
cte2943;gerencia 3;tiendita
cte1803;gerencia 6;tiendita
cte2944;gerencia 2 ;tiendita
cte2945;gerencia 2 ;tiendita
cte2946;gerencia 5;tiendita
cte2947;gerencia 7;tiendita
cte2948;gerencia 4;tiendita
cte2949;gerencia 7;tiendita
cte2950;gerencia 1;tiendita
cte2951;gerencia 3;tiendita
cte1667;gerencia 3;tiendita
cte2952;gerencia 7;tiendita
cte1901;gerencia 1;tiendita
cte976;gerencia 2 ;tiendita
cte2953;gerencia 6;tiendita
cte2954;gerencia 3;tiendita
cte1772;gerencia 6;tiendita
cte2955;gerencia 2 ;tiendita
cte2956;gerencia 6;tiendita
cte2957;gerencia 1;tiendita
cte2958;gerencia 1;tiendita
cte2073;gerencia 2 ;tiendita
cte2959;gerencia 7;tiendita
cte2960;gerencia 4;tiendita
cte2961;gerencia 1;tiendita
cte2962;gerencia 6;tiendita
cte2963;gerencia 7;tiendita
cte2964;gerencia 1;tiendita
cte2965;gerencia 2 ;tiendita
cte2966;gerencia 5;tiendita
cte2967;gerencia 5;tiendita
cte2968;gerencia 2 ;tiendita
cte2969;gerencia 2 ;tiendita
cte2970;gerencia 6;tiendita
cte2971;gerencia 7;tiendita
cte326;gerencia 3;tiendita
cte2972;gerencia 7;tiendita
cte2973;gerencia 2 ;tiendita
cte2974;gerencia 4;tiendita
cte2975;gerencia 3;tiendita
cte2976;gerencia 2 ;tiendita
cte2977;gerencia 5;tiendita
cte2978;gerencia 5;tiendita
cte2979;gerencia 4;tiendita
cte2980;gerencia 3;tiendita
cte2981;gerencia 7;tiendita
cte2982;gerencia 2 ;tiendita
cte2983;gerencia 6;tiendita
cte2984;gerencia 5;tiendita
cte2985;gerencia 5;tiendita
cte2986;gerencia 3;tiendita
cte2987;gerencia 7;tiendita
cte2988;gerencia 6;tiendita
cte2989;gerencia 4;tiendita
cte2990;gerencia 2 ;tiendita
cte2991;gerencia 7;tiendita
cte2992;gerencia 4;tiendita
cte2993;gerencia 5;tiendita
cte2994;gerencia 2 ;tiendita
cte2995;gerencia 2 ;tiendita
cte2996;gerencia 2 ;tiendita
cte2997;gerencia 5;tiendita
cte2998;gerencia 7;tiendita
cte2999;gerencia 5;tiendita
cte2147;gerencia 4;tiendita
cte3000;gerencia 1;tiendita
cte3001;gerencia 6;tiendita
cte3002;gerencia 2 ;tiendita
cte3003;gerencia 5;tiendita
cte3004;gerencia 1;tiendita
cte241;gerencia 2 ;tiendita
cte3005;gerencia 4;tiendita
cte3006;gerencia 4;tiendita
cte3007;gerencia 6;tiendita
cte242;gerencia 2 ;tiendita
cte3008;gerencia 2 ;tiendita
cte114;gerencia 5;tiendita
cte3009;gerencia 1;tiendita
cte3010;gerencia 4;tiendita
cte3011;gerencia 5;tiendita
cte3012;gerencia 6;tiendita
cte3013;gerencia 3;tiendita
cte3014;gerencia 4;tiendita
cte3015;gerencia 7;tiendita
cte3016;gerencia 4;tiendita
cte3017;gerencia 6;tiendita
cte3018;gerencia 6;tiendita
cte1419;gerencia 6;tiendita
cte3019;gerencia 2 ;tiendita
cte3020;gerencia 3;tiendita
cte3021;gerencia 5;tiendita
cte3022;gerencia 6;tiendita
cte3023;gerencia 5;tiendita
cte3024;gerencia 1;tiendita
cte3025;gerencia 7;tiendita
cte3026;gerencia 2 ;tiendita
cte3027;gerencia 1;tiendita
cte3028;gerencia 2 ;tiendita
cte3029;gerencia 5;tiendita
cte3030;gerencia 5;tiendita
cte3031;gerencia 6;tiendita
cte3032;gerencia 5;tiendita
cte3033;gerencia 2 ;tiendita
cte3034;gerencia 5;tiendita
cte3035;gerencia 5;tiendita
cte3036;gerencia 3;tiendita
cte3037;gerencia 5;tiendita
cte3038;gerencia 3;tiendita
cte3039;gerencia 7;tiendita
cte3040;gerencia 7;tiendita
cte3041;gerencia 2 ;tiendita
cte3042;gerencia 5;tiendita
cte3043;gerencia 2 ;tiendita
cte3044;gerencia 2 ;tiendita
cte3045;gerencia 6;tiendita
cte3046;gerencia 3;tiendita
cte3047;gerencia 7;tiendita
cte3048;gerencia 6;tiendita
cte3049;gerencia 1;tiendita
cte3050;gerencia 3;tiendita
cte3051;gerencia 2 ;tiendita
cte3052;gerencia 7;tiendita
cte3053;gerencia 5;tiendita
cte3054;gerencia 2 ;tiendita
cte3055;gerencia 4;tiendita
cte3056;gerencia 5;tiendita
cte3057;gerencia 6;tiendita
cte3058;gerencia 7;tiendita
cte2710;gerencia 1;tiendita
cte3059;gerencia 7;tiendita
cte1474;gerencia 1;tiendita
cte3060;gerencia 5;tiendita
cte3061;gerencia 7;tiendita
cte3062;gerencia 2 ;tiendita
cte3063;gerencia 6;tiendita
cte3064;gerencia 1;tiendita
cte3065;gerencia 3;tiendita
cte3066;gerencia 5;tiendita
cte3067;gerencia 4;tiendita
cte3068;gerencia 6;tiendita
cte3069;gerencia 5;tiendita
cte3070;gerencia 1;tiendita
cte3071;gerencia 6;tiendita
cte169;gerencia 2 ;tiendita
cte3072;gerencia 6;tiendita
cte3073;gerencia 2 ;tiendita
cte3074;gerencia 6;tiendita
cte3075;gerencia 2 ;tiendita
cte2341;gerencia 7;tiendita
cte3076;gerencia 5;tiendita
cte3077;gerencia 5;tiendita
cte3078;gerencia 3;tiendita
cte3079;gerencia 4;tiendita
cte716;gerencia 2 ;tiendita
cte3080;gerencia 2 ;tiendita
cte3081;gerencia 1;tiendita
cte2183;gerencia 4;tiendita
cte3082;gerencia 2 ;tiendita
cte3083;gerencia 2 ;tiendita
cte3084;gerencia 2 ;tiendita
cte3085;gerencia 2 ;tiendita
